Timestamp,Cell_ID,Voltage_V,Current_A,Temperature_C,Cycle_Count,Thermal_Risk,RUL_Cycles
2026-07-23 16:26:23,Cell_1,2.134,17.276,38.06,197,0,999
2026-07-23 16:26:23,Cell_10,2.175,18.924,29.86,173,0,1027
2026-07-23 16:26:23,Cell_11,2.252,23.891,39.05,135,0,1060
2026-07-23 16:26:23,Cell_12,2.116,34.618,34.72,151,0,1046
2026-07-23 16:26:23,Cell_13,2.278,30.037,38.24,50,0,1132
2026-07-23 16:26:23,Cell_14,2.197,22.816,36.32,126,0,1066
2026-07-23 16:26:23,Cell_15,2.252,23.633,40.4,66,0,1116
2026-07-23 16:26:23,Cell_16,2.193,29.841,41.49,146,0,1048
2026-07-23 16:26:23,Cell_17,2.144,26.645,35.78,191,0,1007
2026-07-23 16:26:23,Cell_18,2.274,30.09,36.35,158,0,1033
2026-07-23 16:26:23,Cell_19,2.222,34.274,39.69,130,0,1056
2026-07-23 16:26:23,Cell_2,2.151,10.819,32.83,128,0,1053
2026-07-23 16:26:23,Cell_20,2.219,27.12,41.07,146,0,1052
2026-07-23 16:26:23,Cell_21,2.194,35.581,39.78,60,0,1132
2026-07-23 16:26:23,Cell_22,2.131,30.079,36.79,163,0,1019
2026-07-23 16:26:23,Cell_23,2.177,21.548,30.19,154,0,1040
2026-07-23 16:26:23,Cell_24,2.154,19.19,32.74,179,0,1006
2026-07-23 16:26:23,Cell_25,2.227,5.871,23.87,102,0,1089
2026-07-23 16:26:23,Cell_26,2.237,22.584,37.06,197,0,999
2026-07-23 16:26:23,Cell_27,2.284,12.921,34.66,109,0,1083
2026-07-23 16:26:23,Cell_28,2.243,8.122,30.41,114,0,1068
2026-07-23 16:26:23,Cell_29,2.218,30.171,43.68,94,0,1103
2026-07-23 16:26:23,Cell_3,2.157,8.716,67.29,186,1,914
2026-07-23 16:26:23,Cell_30,2.192,23.694,37.57,94,0,1093
2026-07-23 16:26:23,Cell_31,2.265,14.453,30.94,104,0,1093
2026-07-23 16:26:23,Cell_32,2.212,39.64,38.4,109,0,1090
2026-07-23 16:26:23,Cell_33,2.238,31.938,36.47,85,0,1105
2026-07-23 16:26:23,Cell_34,2.144,14.871,32.25,171,0,1015
2026-07-23 16:26:23,Cell_35,1.9,32.171,75.0,158,2,963
2026-07-23 16:26:23,Cell_36,2.174,30.534,41.81,89,0,1095
2026-07-23 16:26:23,Cell_37,2.159,33.358,39.56,116,0,1070
2026-07-23 16:26:23,Cell_38,2.184,30.549,37.32,152,0,1033
2026-07-23 16:26:23,Cell_39,2.155,35.554,63.43,182,1,911
2026-07-23 16:26:23,Cell_4,2.112,27.325,35.73,162,0,1024
2026-07-23 16:26:23,Cell_40,2.187,16.853,34.94,143,0,1053
2026-07-23 16:26:23,Cell_41,2.213,34.461,40.13,149,0,1039
2026-07-23 16:26:23,Cell_42,2.169,39.629,47.32,109,0,1077
2026-07-23 16:26:23,Cell_43,2.124,25.907,40.37,151,0,1035
2026-07-23 16:26:23,Cell_44,2.176,18.008,60.0,106,1,1086
2026-07-23 16:26:23,Cell_45,2.233,43.906,47.32,128,0,1054
2026-07-23 16:26:23,Cell_46,2.3,20.338,28.57,71,0,1112
2026-07-23 16:26:23,Cell_47,2.088,9.592,27.81,153,0,1042
2026-07-23 16:26:23,Cell_48,2.194,9.598,28.2,74,0,1122
2026-07-23 16:26:23,Cell_49,2.097,8.485,25.82,150,0,1040
2026-07-23 16:26:23,Cell_5,2.241,18.101,33.16,138,0,1043
2026-07-23 16:26:23,Cell_50,2.074,24.086,37.59,199,0,989
2026-07-23 16:26:23,Cell_51,2.272,14.724,27.46,157,0,1034
2026-07-23 16:26:23,Cell_52,2.246,30.783,34.94,57,0,1128
2026-07-23 16:26:23,Cell_53,2.185,33.243,40.13,145,0,1043
2026-07-23 16:26:23,Cell_54,2.139,32.03,67.31,124,1,1008
2026-07-23 16:26:23,Cell_55,2.114,13.517,32.98,189,0,1011
2026-07-23 16:26:23,Cell_6,2.152,42.543,67.44,142,1,978
2026-07-23 16:26:23,Cell_7,2.126,15.591,36.69,155,0,1040
2026-07-23 16:26:23,Cell_8,2.151,7.982,24.74,107,0,1089
2026-07-23 16:26:23,Cell_9,2.268,14.705,28.53,92,0,1097
2026-07-23 16:28:23,Cell_1,2.068,21.889,37.77,197,0,987
2026-07-23 16:28:23,Cell_10,2.105,23.126,35.18,173,0,1017
2026-07-23 16:28:23,Cell_11,2.152,21.133,33.63,135,0,1058
2026-07-23 16:28:23,Cell_12,2.214,31.179,35.7,151,0,1037
2026-07-23 16:28:23,Cell_13,2.3,15.641,37.21,50,0,1143
2026-07-23 16:28:23,Cell_14,2.29,15.505,28.74,126,0,1063
2026-07-23 16:28:23,Cell_15,2.243,23.575,36.34,66,0,1120
2026-07-23 16:28:23,Cell_16,2.215,17.669,35.96,146,0,1049
2026-07-23 16:28:23,Cell_17,2.207,31.235,41.27,191,0,992
2026-07-23 16:28:23,Cell_18,2.166,28.752,33.86,158,0,1035
2026-07-23 16:28:23,Cell_19,2.217,30.45,36.16,130,0,1055
2026-07-23 16:28:23,Cell_2,2.204,15.867,32.51,128,0,1054
2026-07-23 16:28:23,Cell_20,2.284,24.085,35.09,146,0,1043
2026-07-23 16:28:23,Cell_21,2.226,34.882,40.91,60,0,1132
2026-07-23 16:28:23,Cell_22,2.116,20.389,31.92,163,0,1037
2026-07-23 16:28:23,Cell_23,2.143,6.098,28.58,154,0,1034
2026-07-23 16:28:23,Cell_24,2.228,21.379,31.93,179,0,1010
2026-07-23 16:28:23,Cell_25,2.148,23.344,32.5,102,0,1081
2026-07-23 16:28:23,Cell_26,2.223,22.925,33.94,197,0,985
2026-07-23 16:28:23,Cell_27,2.201,7.063,32.28,109,0,1072
2026-07-23 16:28:23,Cell_28,2.239,42.458,41.76,114,0,1069
2026-07-23 16:28:23,Cell_29,2.264,28.202,34.42,94,0,1103
2026-07-23 16:28:23,Cell_3,2.251,26.219,31.88,186,0,1010
2026-07-23 16:28:23,Cell_30,2.229,35.152,41.6,94,0,1096
2026-07-23 16:28:23,Cell_31,2.276,18.409,33.07,104,0,1081
2026-07-23 16:28:23,Cell_32,2.246,50.0,48.73,109,0,1089
2026-07-23 16:28:23,Cell_33,2.268,28.443,37.67,85,0,1112
2026-07-23 16:28:23,Cell_34,2.18,24.91,36.25,171,0,1023
2026-07-23 16:28:23,Cell_35,2.122,10.477,34.29,158,0,1040
